#STEP_FILE ! FILE_SIZE ! MOD_TIME

D8-M.step ! 282667 ! 1568096060
SOT-223.step ! 227596 ! 1710578258
htssop-56.step ! 2056211 ! 1722964516
tssop8.STEP ! 174674 ! 1711377980
lqfp48.step ! 1919983 ! 1711219780
wsop_16.step ! 827104 ! 1745399292
ssop-16.step ! 873879 ! 1745399033
tqfp-48.STEP ! 166679 ! 1745422272
D8-L.step ! 282667 ! 1568096060
SOP-16.STEP ! 3778717 ! 1722501952
DIP_2x5.step ! 720870 ! 1710578258
SSOP-8.step ! 755497 ! 1712718221
ESP-01.step ! 2352878 ! 1710578258
LQFP64.step ! 14347354 ! 1710578258
sop-8.STEP ! 273188 ! 1710578258
tssop8.step ! 306368 ! 1711457082
LED_0603_G.STEP ! 178570 ! 1710578258
KEY_SOT_P2.step ! 151224 ! 1710578258
sop-14.step ! 521672 ! 1710578258
ufqfpn28_2.step ! 4307335 ! 1711439232
ssop-4.STEP ! 294871 ! 1722693500
