#STEP_FILE ! FILE_SIZE ! MOD_TIME

qfn-24.step ! 1567549 ! 1712410006
ID8.STEP ! 399445 ! 1711694856
rp0603.step ! 814212 ! 1711676791
C0603.stp ! 74996 ! 1710578258
SMA-DO-214AC.step ! 213070 ! 1710578258
SMC.step ! 207133 ! 1710578258
TS-POINT.STEP ! 23849 ! 1710578258
SOD-123FL.step ! 331135 ! 1710578258
ll34.step ! 547277 ! 1711502096
sot-23-6p.step ! 308752 ! 1712410134
zdyz_imx6ull_core.STEP ! 892431 ! 1712414488
sod-323.step ! 94263 ! 1711640831
LED_0603_G.STEP ! 178570 ! 1710578258
SOT-23-5P.step ! 185960 ! 1710578258
KEY_SOT_P2.step ! 151224 ! 1710578258
RES_CRCW_2512.step ! 33456 ! 1568096060
0805.step ! 57849 ! 1568096060
R0603.step ! 652348 ! 1710578258
STL90N10F7.STEP ! 62745 ! 1711513016
C0805.stp ! 348325 ! 1600360029
