#STEP_FILE ! FILE_SIZE ! MOD_TIME

l-127.step ! 384322 ! 1709567477
TYPE-C.stp ! 1362496 ! 1668499501
SOT-223.step ! 227596 ! 1709566177
TO252.step ! 5852193 ! 1709564557
SMA-DO-214AC.step ! 213070 ! 1709567200
SMC.step ! 207133 ! 1709567874
TF.step ! 1375508 ! 1709789097
TS-POINT.STEP ! 23849 ! 1709699770
SOD-123FL.step ! 331135 ! 1709566960
smd_5032.STEP ! 277787 ! 1709492644
DIP_2x5.step ! 720870 ! 1709610203
ESP-01.step ! 2352878 ! 1709792607
LQFP64.step ! 14347354 ! 1709564525
CONN-2P-P5.step ! 1193777 ! 1709610026
SOP8.STEP ! 273188 ! 1709467748
M3x8.step ! 519917 ! 1709698257
LED_0603_G.STEP ! 178570 ! 1709819114
KEY_SOT_P2.step ! 151224 ! 1709567403
0805.step ! 57849 ! 1568096060
CAP-SMD-SVP-10_0x12_6.STEP ! 253069 ! 1709483840
R0603.step ! 652348 ! 1709564072
0603.step ! 57899 ! 1568096060
