#STEP_FILE ! FILE_SIZE ! MOD_TIME

EPS01S.step ! 2352785 ! 1711681659
P8.step ! 229628 ! 1568096060
S90125-330uH.STEP ! 19207679 ! 1720639841
CONN-4P-P5.STEP ! 1114691 ! 1711644010
D8-M.step ! 282667 ! 1568096060
L298-heat.STEP ! 206760 ! 1722523048
CONN-2P.STEP ! 539429 ! 1712710914
thr_dip_2x2.STEP ! 85207 ! 1712840371
thr-R-5W.STEP ! 189951 ! 1720538891
106125-1mH.STEP ! 11720651 ! 1722176099
TS-POINT.STEP ! 23849 ! 1710578258
TO220.step ! 185117 ! 1723070957
D8-L.step ! 282667 ! 1568096060
TO220-3.step ! 185117 ! 1723070957
thr-3r090tb.step ! 2404583 ! 1711452688
DIP_2x5.step ! 720870 ! 1710578258
SQP-10W100.STEP ! 86485 ! 1722196775
SSOP-8.step ! 755497 ! 1712718221
CONN-2P-P5.step ! 1193777 ! 1710578258
M3x8.step ! 519917 ! 1710578258
507302B00000G--3DModel-STEP-56544.STEP ! 207014 ! 1568096060
S65125_47uH.STEP ! 11888650 ! 1720513580
SQP-5W100.STEP ! 86521 ! 1722197978
LM2984_with_heat.STEP ! 1632553 ! 1722535173
L298N_with_heat.STEP ! 2206879 ! 1722540018
LM2984.STEP ! 896534 ! 1722522611
21-0140L_T1655-2-L.step ! 193184 ! 1568096060
thr_conn-th-2x5p.STEP ! 642474 ! 1711699369
thr_dip_2x3.step ! 86870 ! 1712835219
E-cap-16x25x7_5.STEP ! 105352 ! 1719062441
thr_dip_1x4.step ! 336882 ! 1711691285
CONN-8P-P5.STEP ! 557855 ! 1712837489
USB_A.STEP ! 321132 ! 1728166112
